Number of papers not found in Scopus = 5185

4001    2579079: (100, No references)
1941    3476925: (100, No references)
2125    22615817: (100, No references)
3597    1772450: (100, No references)
3424    7527136: (100, No references)
329    9632704: (100, No references)
1106    8397508: (100, No references)
332    9632709: (100, No references)
1510    7543898: (100, No references)
3168    11517213: (404, Not Found)
3425    7526843: (100, No references)
730    1394192: (100, No references)
3169    8220435: (100, No references)
3170    8220432: (100, No references)
1108    6787031: (100, No references)
334    7679927: (100, No references)
3171    1555769: (100, No references)
4178    8486731: (100, No references)
3125    7852353: (100, No references)
1946    18202719: (100, No references)
1947    7801128: (100, No references)
2746    21695110: (404, Not Found)
1949    7801123: (100, No references)
2957    8479925: (100, No references)
1109    7744013: (100, No references)
1517    7876265: (100, No references)
736    18292223: (404, Not Found)
737    4909564: (100, No references)
2336    3512269: (100, No references)
3932    23818446: (404, Not Found)
2338    8477855: (100, No references)
4015    1707278: (100, No references)
2341    7715640: (100, No references)
339    1924307: (100, No references)
4018    19682396: (404, Not Found)
3772    8737157: (100, No references)
3187    1557404: (100, No references)
2754    7682706: (100, No references)
2788    3025878: (100, No references)
342    1883349: (100, No references)
3194    22493164: (100, No references)
748    6336315: (100, No references)
344    7930580: (100, No references)
345    1439810: (100, No references)
4024    8107114: (100, No references)
2763    2821624: (100, No references)
749    3264878: (100, No references)
4377    7883976: (100, No references)
3199    8586415: (100, No references)
1525    8145851: (100, No references)
4113    8028671: (100, No references)
3201    8586413: (100, No references)
2350    7981751: (100, No references)
1974    1653055: (100, No references)
4379    7540104: (100, No references)
2260    9603968: (100, No references)
4380    10900014: (404, Not Found)
2166    7499366: (100, No references)
4030    17456799: (404, Not Found)
2369    2904146: (100, No references)
1963    2216457: (100, No references)
2682    2320128: (100, No references)
1965    7594533: (100, No references)
754    10380922: (100, No references)
3206    7639730: (100, No references)
755    2779654: (100, No references)
756    1627333: (100, No references)
1533    2172835: (100, No references)
3860    8268230: (100, No references)
1534    7758455: (100, No references)
1972    23752268: (100, No references)
759    8365415: (100, No references)
2779    3022150: (100, No references)
2294    8405712: (100, No references)
2359    2387399: (100, No references)
3211    7887897: (100, No references)
3325    9326952: (100, No references)
2781    6548702: (100, No references)
3614    1518869: (100, No references)
2361    1512248: (100, No references)
1975    2122974: (100, No references)
1976    8348613: (100, No references)
1134    1723144: (100, No references)
2718    6209582: (100, No references)
4049    3175662: (100, No references)
2961    8825633: (100, No references)
2786    12435727: (404, Not Found)
1139    7923218: (100, No references)
1140    8141249: (100, No references)
1546    7935836: (100, No references)
3641    7862145: (100, No references)
1981    8344919: (100, No references)
3217    6227635: (100, No references)
3218    3029062: (100, No references)
3807    1339390: (100, No references)
365    8074714: (100, No references)
3429    8290554: (100, No references)
4147    1426262: (100, No references)
2792    7798325: (100, No references)
767    18312615: (404, Not Found)
1144    6414998: (100, No references)
3437    18577513: (404, Not Found)
2793    21167025: (404, Not Found)
4060    1294118: (100, No references)
370    2890159: (100, No references)
4073    8103397: (100, No references)
3223    8004088: (100, No references)
2517    1888762: (100, No references)
4005    7561881: (100, No references)
1575    422550: (100, No references)
375    2734312: (100, No references)
4094    2549515: (100, No references)
1991    7835883: (100, No references)
774    1569101: (100, No references)
3147    1871106: (100, No references)
1993    7835889: (100, No references)
379    22580899: (100, No references)
996    8493579: (100, No references)
2803    1931970: (100, No references)
1555    20028976: (404, Not Found)
2378    17172643: (404, Not Found)
1556    7700351: (100, No references)
382    15645143: (100, No references)
384    7517938: (100, No references)
1153    3022937: (100, No references)
1154    3143918: (100, No references)
1300    8006041: (100, No references)
1155    1517240: (100, No references)
2451    3023045: (100, No references)
842    1313424: (100, No references)
849    2160952: (100, No references)
2721    6091030: (404, Not Found)
2808    20169165: (404, Not Found)
2386    7925411: (100, No references)
3375    8477742: (100, No references)
2388    7716521: (100, No references)
2655    1321812: (100, No references)
2    4709625: (100, No references)
387    2007135: (100, No references)
2812    22518138: (404, Not Found)
1560    7862649: (100, No references)
3666    2827661: (100, No references)
2301    3037703: (100, No references)
1162    2550900: (100, No references)
4076    8248235: (100, No references)
2393    2179953: (100, No references)
1562    7584914: (100, No references)
1166    7805841: (100, No references)
4188    3028891: (100, No references)
1169    7805846: (100, No references)
3138    7797505: (100, No references)
1172    3456608: (100, No references)
3989    7610041: (100, No references)
2816    8227358: (100, No references)
3251    9632734: (100, No references)
2817    2183027: (100, No references)
2446    18316612: (100, No references)
1568    8104187: (100, No references)
11    3345742: (100, No references)
2397    7537265: (100, No references)
2010    8053900: (100, No references)
3671    1718744: (100, No references)
4083    7744028: (100, No references)
2822    23621916: (404, Not Found)
2400    7583561: (100, No references)
796    8325655: (100, No references)
4397    7760846: (100, No references)
2014    2529117: (100, No references)
3263    8462994: (100, No references)
798    12411747: (100, No references)
1572    7789999: (100, No references)
3253    24286120: (404, Not Found)
1573    6576816: (100, No references)
4293    7505783: (100, No references)
2023    8171323: (100, No references)
1990    7835885: (100, No references)
1577    8144038: (100, No references)
400    3220478: (100, No references)
401    2542288: (100, No references)
2409    1334494: (100, No references)
2029    7698763: (100, No references)
2830    7527560: (100, No references)
1193    7811244: (100, No references)
2030    8358790: (100, No references)
3271    8003023: (100, No references)
4398    3083240: (100, No references)
1585    19940119: (404, Not Found)
2831    2416746: (100, No references)
1586    7503932: (100, No references)
4392    7856737: (100, No references)
1833    2251254: (100, No references)
815    1614875: (100, No references)
3273    2742853: (404, Not Found)
1203    8290962: (100, No references)
28    826475: (100, No references)
2834    7585968: (100, No references)
1205    17502600: (404, Not Found)
4100    2155413: (100, No references)
2421    7537849: (100, No references)
2678    8063702: (100, No references)
4102    3272162: (100, No references)
4196    2565339: (100, No references)
3306    8242750: (100, No references)
2423    8294494: (100, No references)
3689    1825810: (100, No references)
4103    7619207: (100, No references)
4104    7619205: (100, No references)
4106    2558309: (100, No references)
2429    7849401: (100, No references)
2430    7849400: (100, No references)
3279    18259216: (100, No references)
3693    8245017: (100, No references)
417    7813017: (100, No references)
419    7813013: (100, No references)
4109    1517212: (100, No references)
1214    3693360: (100, No references)
2047    2575216: (100, No references)
4079    2985435: (100, No references)
2845    2626032: (100, No references)
1216    2567699: (100, No references)
3698    20624318: (404, Not Found)
1217    7844150: (100, No references)
1996    8420959: (100, No references)
424    2580298: (100, No references)
715    18230725: (404, Not Found)
3290    7539744: (100, No references)
45    8344494: (100, No references)
2135    1649192: (100, No references)
429    14555988: (100, No references)
4115    2753032: (100, No references)
2308    8955159: (100, No references)
3088    3402455: (100, No references)
4118    7684926: (100, No references)
3294    7896779: (100, No references)
1933    8723388: (100, No references)
4333    11342549: (404, Not Found)
1228    1986355: (100, No references)
431    15537790: (404, Not Found)
2053    2530088: (100, No references)
2444    7896816: (100, No references)
2055    3035717: (100, No references)
2857    8428657: (100, No references)
437    24475127: (404, Not Found)
3301    60899: (100, No references)
2860    2420472: (100, No references)
1998    11279026: (404, Not Found)
693    3084490: (100, No references)
2805    4216454: (100, No references)
4130    98401153: (404, Not Found)
1233    7761456: (100, No references)
63    7730328: (100, No references)
2863    18186464: (100, No references)
3019    2446322: (100, No references)
2066    10468558: (100, No references)
67    7730321: (100, No references)
3440    21375735: (404, Not Found)
1617    8634708: (100, No references)
2529    8684466: (100, No references)
2866    2198571: (100, No references)
1620    2722762: (100, No references)
447    2997712: (404, Not Found)
448    2997713: (404, Not Found)
1622    8634703: (100, No references)
449    2997711: (404, Not Found)
4137    2550933: (100, No references)
1623    11641262: (100, No references)
2869    2912989: (100, No references)
451    7861179: (100, No references)
3756    1851158: (100, No references)
2457    1384485: (100, No references)
1628    2357221: (100, No references)
2405    1935934: (100, No references)
844    7918467: (100, No references)
3305    8242751: (100, No references)
