Number of papers not found in Scopus = 2228

2663    7929437: (100, No references)
1367    7529876: (100, No references)
1371    7529871: (100, No references)
2671    6363792: (100, No references)
1381    5367369: (100, No references)
57    12515806: (404, Not Found)
2684    3676400: (100, No references)
70    17975067: (404, Not Found)
2692    16723493: (404, Not Found)
1920    9500551: (100, No references)
76    13950100: (404, Not Found)
2167    8215422: (100, No references)
2700    7444718: (100, No references)
2378    11726526: (404, Not Found)
2082    19923449: (404, Not Found)
2110    16462943: (100, No references)
1423    9617549: (100, No references)
1426    7889986: (100, No references)
2180    7782346: (100, No references)
113    7723632: (100, No references)
2207    8155735: (100, No references)
1438    5764873: (100, No references)
2737    18600476: (404, Not Found)
2740    16469767: (404, Not Found)
2741    8543060: (100, No references)
2744    8080725: (100, No references)
2289    7958869: (100, No references)
2747    7547473: (100, No references)
1455    5559967: (100, No references)
2327    2980124: (100, No references)
152    5041196: (100, No references)
2457    8824711: (100, No references)
1196    8607965: (100, No references)
1479    17803360: (100, No references)
1490    19329817: (404, Not Found)
177    8387379: (100, No references)
2805    7958910: (100, No references)
183    2017177: (100, No references)
2697    18188704: (100, No references)
2820    19657017: (404, Not Found)
2770    7555927: (100, No references)
208    7575502: (100, No references)
1531    14654243: (404, Not Found)
2869    405846: (100, No references)
1550    7961644: (100, No references)
230    8218401: (100, No references)
2846    1731775: (100, No references)
235    7797522: (100, No references)
687    12738802: (100, No references)
2555    196814: (100, No references)
2853    2693209: (100, No references)
241    2513223: (100, No references)
2009    10823942: (100, No references)
250    3243423: (100, No references)
1566    8384837: (100, No references)
2865    7505204: (100, No references)
261    11604102: (404, Not Found)
1574    20805985: (404, Not Found)
2874    7889942: (100, No references)
1580    8040371: (100, No references)
266    18256040: (100, No references)
3148    9861026: (100, No references)
268    17500595: (100, No references)
1585    8133891: (100, No references)
1589    21966409: (404, Not Found)
2887    7621877: (100, No references)
3184    10611155: (100, No references)
283    18297060: (100, No references)
284    12042313: (100, No references)
3298    1830926: (100, No references)
287    18297068: (100, No references)
1606    8448182: (100, No references)
2899    20230755: (100, No references)
291    8145052: (100, No references)
3272    7610888: (404, Not Found)
2906    12175868: (404, Not Found)
2911    109081: (100, No references)
301    7592783: (100, No references)
722    7550317: (100, No references)
2912    6251472: (100, No references)
2913    7927664: (100, No references)
741    7700379: (100, No references)
1626    4634048: (100, No references)
1627    8406478: (100, No references)
2932    21370995: (404, Not Found)
1635    16282525: (404, Not Found)
459    6501560: (100, No references)
329    12590135: (404, Not Found)
334    1383204: (100, No references)
240    3079912: (100, No references)
2948    7522233: (100, No references)
341    7605630: (100, No references)
1656    7721815: (100, No references)
349    7715703: (100, No references)
352    1372434: (100, No references)
1675    7439685: (100, No references)
366    19806181: (404, Not Found)
2977    1302015: (100, No references)
2979    10518565: (100, No references)
1687    8274135: (100, No references)
2986    7562514: (100, No references)
1696    4646763: (100, No references)
1259    10655502: (100, No references)
3001    7665913: (100, No references)
388    6550027: (100, No references)
1707    7929134: (100, No references)
1293    24282027: (404, Not Found)
717    1533274: (100, No references)
398    2190691: (100, No references)
3015    7026729: (100, No references)
1329    8098731: (100, No references)
402    9892651: (100, No references)
3020    7629182: (100, No references)
1719    8421714: (100, No references)
1720    7889570: (100, No references)
3028    8394755: (100, No references)
3031    17511: (100, No references)
865    1683482: (100, No references)
3040    21151568: (404, Not Found)
801    1353982: (100, No references)
1581    1936982: (100, No references)
450    14514678: (100, No references)
1758    1663214: (100, No references)
1888    12489152: (404, Not Found)
1770    591875: (100, No references)
1775    15831789: (404, Not Found)
1781    7985028: (100, No references)
480    11344116: (100, No references)
481    23749757: (404, Not Found)
1702    1323011: (100, No references)
3097    2960971: (100, No references)
2237    7668363: (100, No references)
925    2558488: (100, No references)
926    8007983: (100, No references)
2244    7664803: (100, No references)
250    23835476: (404, Not Found)
1982    11197776: (100, No references)
2250    2328987: (100, No references)
3115    9391078: (100, No references)
951    1505025: (100, No references)
952    1505026: (100, No references)
953    7925842: (100, No references)
3141    7773507: (100, No references)
1173    18443287: (404, Not Found)
2279    15207857: (404, Not Found)
550    7626590: (100, No references)
2293    7506729: (100, No references)
2294    7555726: (100, No references)
2299    8582267: (100, No references)
2302    4693062: (100, No references)
996    16371425: (100, No references)
2823    7743923: (100, No references)
3002    8541302: (100, No references)
1375    7958450: (100, No references)
2316    7954836: (100, No references)
2261    6977094: (100, No references)
1009    22638570: (100, No references)
1022    7919361: (100, No references)
1583    11297552: (404, Not Found)
2345    5037658: (100, No references)
2353    7670465: (100, No references)
2354    21829553: (404, Not Found)
1664    16280321: (404, Not Found)
2362    9834201: (404, Not Found)
1055    7608171: (100, No references)
783    20976249: (100, No references)
1064    5500588: (100, No references)
1838    1554415: (100, No references)
2260    7911220: (100, No references)
1894    8175808: (100, No references)
1671    7973732: (100, No references)
1087    10468580: (100, No references)
1092    4777306: (100, No references)
1963    7589890: (100, No references)
3275    8568931: (100, No references)
1099    7797078: (100, No references)
1103    3502715: (100, No references)
2413    23509158: (100, No references)
1109    7623846: (100, No references)
2416    8299937: (100, No references)
3387    8035824: (100, No references)
1122    8223569: (100, No references)
1132    1373998: (100, No references)
2438    5452809: (100, No references)
2687    540025: (100, No references)
1545    3627430: (100, No references)
2445    7589801: (100, No references)
1140    10759559: (100, No references)
2450    7589808: (100, No references)
1147    1756725: (100, No references)
1088    22297488: (404, Not Found)
2907    6822548: (100, No references)
1764    6105153: (100, No references)
2471    18235101: (100, No references)
2476    7679677: (100, No references)
1855    16789828: (100, No references)
2404    7914033: (100, No references)
2411    15735755: (404, Not Found)
2427    11590244: (404, Not Found)
2485    7837794: (100, No references)
2496    7556876: (100, No references)
2493    1991517: (100, No references)
2210    8012114: (100, No references)
2604    1910294: (100, No references)
1196    1334548: (100, No references)
70    7615798: (100, No references)
1208    21410936: (404, Not Found)
2524    18258213: (100, No references)
154    7556622: (100, No references)
285    18417102: (100, No references)
2535    3796661: (100, No references)
1455    16216236: (404, Not Found)
2537    7588606: (100, No references)
1228    2145578: (100, No references)
2539    15121846: (404, Not Found)
2540    20205790: (404, Not Found)
1765    7588439: (100, No references)
2843    9501222: (100, No references)
2920    9813033: (404, Not Found)
1246    19933576: (404, Not Found)
2552    1321503: (100, No references)
3312    8349667: (100, No references)
548    15483136: (404, Not Found)
1260    23429752: (404, Not Found)
2571    19772675: (404, Not Found)
2577    8043862: (100, No references)
1276    1685988: (100, No references)
487    423972: (100, No references)
7    8455608: (100, No references)
8    17943183: (100, No references)
12    198184: (100, No references)
3124    1888698: (100, No references)
20    7059672: (100, No references)
2521    186024: (100, No references)
24    19251639: (404, Not Found)
2614    17352653: (404, Not Found)
2615    12106019: (404, Not Found)
686    18278053: (100, No references)
658    7203014: (100, No references)
355    7988453: (100, No references)
335    9368100: (100, No references)
390    7527157: (100, No references)
72    7530222: (100, No references)
2646    16298995: (404, Not Found)
74    9707574: (100, No references)
2651    8719807: (100, No references)
1350    8131747: (100, No references)
950    8407995: (100, No references)
1361    8187816: (100, No references)
2670    8479540: (404, Not Found)
572    3020551: (100, No references)
105    18802469: (404, Not Found)
1003    7545544: (100, No references)
1377    566475: (100, No references)
1101    566476: (100, No references)
3049    8380639: (100, No references)
1134    1686215: (100, No references)
117    8547218: (100, No references)
2860    7493928: (100, No references)
1154    7926784: (100, No references)
3162    4799944: (100, No references)
1392    7684329: (100, No references)
1395    10579975: (100, No references)
135    7682011: (404, Not Found)
138    8441630: (100, No references)
2711    7089489: (100, No references)
2712    2129545: (100, No references)
2718    7766992: (100, No references)
153    7744830: (100, No references)
2730    14198707: (100, No references)
1420    8252632: (100, No references)
2734    7890685: (100, No references)
1887    6696991: (100, No references)
2947    9488445: (100, No references)
2744    16877525: (100, No references)
2753    3510743: (100, No references)
1439    518534: (100, No references)
1440    518535: (100, No references)
2765    7688531: (100, No references)
1451    12645009: (100, No references)
2770    8389815: (100, No references)
203    2983837: (100, No references)
2307    21127075: (404, Not Found)
1480    7761462: (100, No references)
1481    8449997: (100, No references)
1484    8193672: (100, No references)
1793    7890747: (100, No references)
2757    22518138: (404, Not Found)
226    17369357: (404, Not Found)
2821    13970081: (100, No references)
2822    13970082: (100, No references)
1510    7911971: (100, No references)
1512    7630421: (100, No references)
1513    7883868: (100, No references)
1516    12815040: (404, Not Found)
1964    22020336: (404, Not Found)
253    7568030: (100, No references)
255    3047555: (100, No references)
1524    7722646: (100, No references)
2838    21940442: (100, No references)
2028    2033248: (100, No references)
2842    8223280: (100, No references)
2062    7489710: (100, No references)
2846    7876332: (100, No references)
1537    8274012: (100, No references)
272    7823919: (100, No references)
273    7882967: (100, No references)
2110    8111631: (100, No references)
2854    17247639: (404, Not Found)
1546    8047141: (100, No references)
277    8202139: (100, No references)
2158    23213483: (404, Not Found)
284    10652516: (100, No references)
290    20735826: (404, Not Found)
2870    6372555: (100, No references)
2224    21209915: (404, Not Found)
1569    5111764: (100, No references)
1570    7620186: (100, No references)
2289    4385090: (100, No references)
2306    20808952: (404, Not Found)
2325    8534916: (100, No references)
310    11980719: (404, Not Found)
1587    7565774: (100, No references)
1593    1469420: (100, No references)
2902    14300095: (100, No references)
2903    14300096: (100, No references)
1602    7670489: (100, No references)
815    6838491: (100, No references)
339    9365243: (100, No references)
342    8262059: (100, No references)
343    7961770: (100, No references)
344    8062389: (100, No references)
2923    7607090: (100, No references)
347    8262055: (100, No references)
2598    2765934: (100, No references)
350    7969165: (100, No references)
1635    18420585: (404, Not Found)
2628    8164737: (100, No references)
1640    20596238: (100, No references)
80    9892670: (100, No references)
363    4841576: (100, No references)
368    18234909: (100, No references)
1652    18830387: (404, Not Found)
2474    14516655: (404, Not Found)
3428    2684652: (100, No references)
1742    1855483: (100, No references)
1695    7830794: (100, No references)
379    18583567: (404, Not Found)
239    7697385: (100, No references)
3199    14675480: (404, Not Found)
1677    1996978: (100, No references)
1678    1781357: (100, No references)
2975    8112612: (100, No references)
394    16352598: (404, Not Found)
2977    7929588: (100, No references)
396    2527850: (100, No references)
1687    15018652: (404, Not Found)
407    7890770: (100, No references)
831    8325377: (100, No references)
1702    1371219: (100, No references)
413    15623503: (404, Not Found)
1708    18605988: (404, Not Found)
1332    11278549: (404, Not Found)
419    21615908: (404, Not Found)
3009    7878058: (100, No references)
517    2685607: (100, No references)
428    7588219: (100, No references)
535    6457599: (100, No references)
3021    7537238: (100, No references)
1058    8385111: (100, No references)
445    7890599: (100, No references)
3028    8308018: (100, No references)
3239    8170972: (100, No references)
3037    1376141: (100, No references)
458    2121744: (100, No references)
1762    18648510: (404, Not Found)
1763    8130375: (100, No references)
416    8356051: (100, No references)
2393    12917357: (404, Not Found)
3054    7588068: (100, No references)
3055    1630580: (100, No references)
1773    8978486: (100, No references)
475    7958896: (100, No references)
2961    18203951: (404, Not Found)
2286    8269854: (100, No references)
491    15010863: (100, No references)
493    2037625: (100, No references)
1801    7988496: (100, No references)
3087    7724523: (100, No references)
512    8294875: (100, No references)
1821    6583703: (100, No references)
1825    18641331: (404, Not Found)
1096    8062927: (100, No references)
525    8148869: (100, No references)
527    17239249: (100, No references)
1831    20179095: (404, Not Found)
1832    23472206: (404, Not Found)
3120    9171829: (100, No references)
3123    21118511: (404, Not Found)
956    1952599: (100, No references)
1826    1781356: (100, No references)
3133    8032679: (100, No references)
3138    18511420: (404, Not Found)
1849    8146185: (100, No references)
1852    2493000: (100, No references)
1258    3201241: (100, No references)
1861    2453798: (100, No references)
1875    17182612: (404, Not Found)
2233    7596412: (100, No references)
1291    7720589: (100, No references)
583    8102800: (100, No references)
354    9634237: (100, No references)
122    9159135: (100, No references)
3184    1401878: (100, No references)
1905    6500174: (100, No references)
1909    1385220: (100, No references)
601    7677753: (100, No references)
1921    10726970: (100, No references)
1922    7885444: (100, No references)
3209    19376971: (404, Not Found)
3211    9539739: (100, No references)
3212    7635047: (100, No references)
621    8188678: (100, No references)
1638    8344258: (100, No references)
1943    22363741: (404, Not Found)
632    3923359: (100, No references)
1955    571898: (100, No references)
1898    1646080: (100, No references)
645    9355733: (100, No references)
3245    1314586: (100, No references)
647    8717055: (100, No references)
652    6855886: (100, No references)
3251    10611370: (100, No references)
1967    7539357: (100, No references)
3257    9620802: (100, No references)
1973    7539359: (100, No references)
1996    2456965: (100, No references)
1976    14563316: (404, Not Found)
3265    8306881: (100, No references)
3266    8192889: (100, No references)
3271    8306889: (100, No references)
1992    6610701: (100, No references)
675    21747913: (404, Not Found)
676    8984825: (100, No references)
3260    7854452: (100, No references)
2119    11344099: (100, No references)
1231    8995757: (404, Not Found)
713    3513762: (100, No references)
2036    8093858: (100, No references)
2351    17447844: (100, No references)
724    1397691: (100, No references)
2041    7568196: (100, No references)
2223    7628407: (100, No references)
2415    1569123: (100, No references)
3336    16418214: (404, Not Found)
741    7550312: (100, No references)
2055    15345036: (404, Not Found)
2487    1821856: (100, No references)
757    1918045: (100, No references)
3357    11113146: (404, Not Found)
762    291939: (100, No references)
763    1547488: (100, No references)
2073    17257418: (404, Not Found)
2081    7333654: (100, No references)
986    18231833: (100, No references)
779    8690732: (100, No references)
781    8172601: (100, No references)
2092    22832517: (404, Not Found)
3380    1150661: (100, No references)
149    22163275: (404, Not Found)
792    7792947: (100, No references)
2103    21052544: (404, Not Found)
3396    7669221: (100, No references)
218    24010020: (404, Not Found)
275    8565963: (100, No references)
802    16936731: (100, No references)
3404    8009964: (100, No references)
3406    12975471: (404, Not Found)
2708    7493016: (100, No references)
2910    4646766: (100, No references)
2919    573619: (100, No references)
3423    8408266: (100, No references)
2133    16763026: (100, No references)
821    7630197: (100, No references)
2138    7896788: (100, No references)
2141    7568224: (100, No references)
829    22891351: (100, No references)
2142    2722772: (100, No references)
2144    18175806: (404, Not Found)
2991    7828849: (100, No references)
769    24095729: (404, Not Found)
2997    18467647: (404, Not Found)
423    3473481: (100, No references)
836    9826705: (100, No references)
3026    7923373: (100, No references)
837    9826706: (100, No references)
2156    7655079: (100, No references)
2157    7655078: (100, No references)
3444    11156938: (100, No references)
849    3141922: (100, No references)
853    7828721: (100, No references)
854    7713503: (100, No references)
3457    7744952: (100, No references)
2174    7925020: (100, No references)
771    7925021: (100, No references)
3190    23850456: (404, Not Found)
1779    205481: (100, No references)
2179    7748561: (100, No references)
874    2304459: (100, No references)
2186    7662892: (100, No references)
2585    16304441: (404, Not Found)
2191    6462226: (100, No references)
2193    1690859: (100, No references)
2195    1379240: (100, No references)
884    7838156: (100, No references)
886    7838158: (100, No references)
905    1916262: (100, No references)
2204    11834293: (404, Not Found)
895    1373175: (100, No references)
773    2568311: (100, No references)
897    7848292: (100, No references)
3385    9371767: (100, No references)
899    7534781: (100, No references)
903    17173483: (100, No references)
2217    8547603: (100, No references)
907    17696610: (100, No references)
2226    8185929: (100, No references)
917    4561716: (100, No references)
1984    8152482: (100, No references)
2203    5893447: (100, No references)
2896    7561513: (100, No references)
2653    6512238: (100, No references)
942    6194978: (100, No references)
1114    7744009: (100, No references)
3218    7547685: (100, No references)
1216    6241468: (100, No references)
2246    604178: (100, No references)
1694    1339316: (100, No references)
951    1722474: (100, No references)
1277    8078582: (100, No references)
1196    8582296: (100, No references)
954    642030: (100, No references)
955    18974388: (404, Not Found)
956    9699678: (100, No references)
2252    2344351: (100, No references)
966    7690439: (100, No references)
1504    11443137: (404, Not Found)
2279    1334535: (100, No references)
2292    11772953: (100, No references)
995    12225863: (100, No references)
2300    11557757: (404, Not Found)
1005    3038581: (100, No references)
1007    1779648: (100, No references)
1015    8774946: (100, No references)
1020    16116427: (404, Not Found)
1643    11342549: (404, Not Found)
1678    1355109: (100, No references)
1032    2419767: (100, No references)
1033    1996138: (100, No references)
2328    2582349: (404, Not Found)
1734    1461282: (100, No references)
1039    6218091: (100, No references)
488    8468318: (100, No references)
500    7545952: (100, No references)
2343    7577669: (100, No references)
1879    3898078: (100, No references)
1065    21253575: (404, Not Found)
1068    7813517: (100, No references)
2363    7568185: (100, No references)
2381    8153632: (100, No references)
2643    8175795: (100, No references)
2655    16854219: (404, Not Found)
2389    8631807: (100, No references)
1105    4670054: (100, No references)
2998    8125989: (100, No references)
2412    2360047: (100, No references)
2414    11696561: (404, Not Found)
1125    7608209: (100, No references)
2418    8415706: (100, No references)
1275    7958419: (100, No references)
2425    16708114: (404, Not Found)
2284    9593587: (100, No references)
1156    17784788: (100, No references)
3411    15132976: (100, No references)
2395    1426286: (100, No references)
1151    7798195: (100, No references)
3159    3943659: (100, No references)
2450    8474452: (100, No references)
2895    4435359: (100, No references)
1181    7694848: (100, No references)
2468    8207383: (100, No references)
2561    18296735: (100, No references)
2472    23863626: (404, Not Found)
721    7990930: (100, No references)
1190    18668520: (404, Not Found)
1192    12135985: (100, No references)
1194    12135983: (100, No references)
2480    9501252: (100, No references)
1202    7706296: (100, No references)
1220    3008329: (100, No references)
2503    18289379: (404, Not Found)
1230    8313466: (100, No references)
336    2499043: (100, No references)
1243    2906327: (100, No references)
943    8407975: (100, No references)
436    3147150: (100, No references)
3297    18212064: (100, No references)
2542    20809987: (404, Not Found)
2544    18234692: (100, No references)
2546    8375377: (100, No references)
3354    15882093: (100, No references)
2226    8555108: (100, No references)
1274    8007990: (100, No references)
2553    1235912: (100, No references)
2556    7537734: (100, No references)
2559    18212062: (100, No references)
1183    8325367: (100, No references)
1281    7515481: (100, No references)
1286    11687538: (404, Not Found)
668    21908771: (100, No references)
2573    24074862: (404, Not Found)
757    7890768: (100, No references)
9    10570206: (100, No references)
1300    8032683: (100, No references)
18    8293872: (100, No references)
1303    7927786: (100, No references)
772    7486703: (100, No references)
1307    2473662: (100, No references)
2593    7873696: (100, No references)
1310    20231455: (404, Not Found)
2595    16204356: (100, No references)
1314    9113979: (100, No references)
1324    1763621: (100, No references)
906    1306163: (100, No references)
2613    12837279: (404, Not Found)
2614    10869354: (404, Not Found)
600    7523852: (100, No references)
1332    22378764: (100, No references)
2623    1311310: (100, No references)
56    2521854: (100, No references)
1343    8145850: (100, No references)
1348    1846704: (100, No references)
310    7777057: (100, No references)
1186    20525243: (404, Not Found)
2644    9013981: (404, Not Found)
1366    7753822: (100, No references)
1150    23637614: (404, Not Found)
2656    2404337: (100, No references)
1373    20415737: (100, No references)
1374    7758106: (100, No references)
2669    7848824: (100, No references)
104    3092218: (100, No references)
2679    3803305: (100, No references)
2680    7738015: (100, No references)
1722    12023293: (100, No references)
2691    8155581: (100, No references)
1384    7333462: (100, No references)
3324    8176201: (100, No references)
1406    7969117: (100, No references)
2698    8666395: (100, No references)
126    1284028: (100, No references)
1413    7586755: (100, No references)
1417    8586960: (100, No references)
1418    943046: (100, No references)
1199    7748946: (100, No references)
153    9183385: (100, No references)
3185    22580899: (100, No references)
2731    18524855: (404, Not Found)
2732    1673361: (100, No references)
1008    405970: (100, No references)
1454    18632661: (404, Not Found)
1455    9223328: (100, No references)
1463    7907365: (100, No references)
1764    8657308: (100, No references)
182    7628699: (100, No references)
1599    1421407: (100, No references)
1473    20004191: (100, No references)
1477    1908076: (100, No references)
3342    7665092: (100, No references)
2784    18493969: (404, Not Found)
211    1348494: (100, No references)
1505    1385239: (100, No references)
1509    19224921: (404, Not Found)
224    8083202: (100, No references)
2803    1752214: (100, No references)
2811    8171322: (100, No references)
1822    24269682: (404, Not Found)
2818    7698765: (100, No references)
2819    3346226: (100, No references)
1535    6541906: (100, No references)
1539    11073954: (404, Not Found)
252    12016228: (100, No references)
2826    8358790: (100, No references)
2827    1538753: (100, No references)
255    937819: (100, No references)
2832    2824995: (100, No references)
2835    7856737: (100, No references)
263    8284210: (100, No references)
275    61878: (100, No references)
277    21853124: (404, Not Found)
2851    9620764: (100, No references)
284    17522300: (404, Not Found)
120    7573384: (100, No references)
1595    3184310: (100, No references)
301    7769737: (100, No references)
2870    7775586: (100, No references)
1602    14679185: (404, Not Found)
2442    385184: (100, No references)
309    7760852: (100, No references)
1607    7615634: (100, No references)
314    3290851: (100, No references)
2526    19724054: (404, Not Found)
2823    4193185: (100, No references)
2887    7507245: (100, No references)
2889    9300695: (404, Not Found)
321    1577194: (100, No references)
1617    8106170: (100, No references)
2898    23372168: (100, No references)
2749    2308957: (100, No references)
1660    8393815: (100, No references)
356    6708966: (100, No references)
357    6708965: (100, No references)
2797    7896880: (100, No references)
2927    7693550: (100, No references)
1229    20020054: (404, Not Found)
2833    3340629: (100, No references)
2935    8387893: (100, No references)
2938    8189383: (100, No references)
1682    18166528: (404, Not Found)
761    11178106: (100, No references)
343    7555706: (100, No references)
2931    18974039: (404, Not Found)
2959    7885474: (100, No references)
439    7885472: (100, No references)
484    12847143: (404, Not Found)
3057    19075018: (404, Not Found)
1716    7811286: (100, No references)
406    8413268: (100, No references)
1723    8100981: (100, No references)
410    2146686: (100, No references)
2116    8003488: (100, No references)
2980    15343387: (404, Not Found)
1727    1483388: (100, No references)
1731    14609575: (100, No references)
2990    16467369: (100, No references)
2993    7295297: (100, No references)
430    7499277: (100, No references)
1740    7675327: (100, No references)
710    7594543: (100, No references)
3008    7945396: (100, No references)
1750    16763034: (100, No references)
445    8089130: (100, No references)
447    21224844: (404, Not Found)
448    12417526: (404, Not Found)
449    18178554: (404, Not Found)
450    7508917: (100, No references)
1767    7566114: (100, No references)
3395    9326950: (100, No references)
1772    7789342: (100, No references)
2004    7566118: (100, No references)
3453    3428272: (100, No references)
1779    12385742: (404, Not Found)
1784    3931624: (100, No references)
481    9894812: (100, No references)
1796    2689439: (100, No references)
588    8206089: (100, No references)
