Link,PubMed ID
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032575752&partnerID=40&md5=c76e028a8ab237c5baa531eb93be4481",9721092
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023989064&partnerID=40&md5=6a7a4a6bbd8f5b11d6e41ab6a643ac23",3162770
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035942736&partnerID=40&md5=4436a688754327611b7b1ccbf53b4559",11373684
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021943518&partnerID=40&md5=c38448374010b756b5060439011cf552",2985470
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020793569&partnerID=40&md5=f87c910587c018315141302feaa03bb8",6312838
,
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029927505&partnerID=40&md5=38049ad10cf68ff167baff788d6c96dd",8779443
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026117004&partnerID=40&md5=a9f408a4704fc78e6b271959389a8935",2025413
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029881007&partnerID=40&md5=3c9429f00f04cfebead744cacbcf9399",8744573
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0014432781&partnerID=40&md5=2cff15fb4573bcf5b7774b2250e15854",5700707
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024669291&partnerID=40&md5=de0ec36902f3cbe4d185a07acdb48bff",2659436
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0016063911&partnerID=40&md5=c6817c9e6c8894090c16bfbe86240ed8",4366476
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0042121256&partnerID=40&md5=3bc2117a066120784254991098a31b98",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034598746&partnerID=40&md5=996f773906ea3c19951cc12fec7e56a0",10676951
"http://www.scopus.com/inward/record.url?eid=2-s2.0-4444221565&partnerID=40&md5=c9a4f4d426be1828e82f0f8e84537387",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0016711037&partnerID=40&md5=53d5c47e185e76a9e0e3dcc5ee40bd89",236308
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0016700864&partnerID=40&md5=0413dc35737738e1c7ac7658dc4cd491",1195397
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037129827&partnerID=40&md5=b0813eaf9635498aab29e3b510679293",12184808
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030715323&partnerID=40&md5=5d1c81838130b093298349f8715f675d",9390557
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-11644261806&partnerID=40&md5=6c24d48033c51d985d3f2bc2772cff69",
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034649566&partnerID=40&md5=8c561d4b762c4b983ea8c8c3afa6df62",11130711
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017411710&partnerID=40&md5=ece653ac926adb178794a87abcdb5262",875032
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033434080&partnerID=40&md5=d7fe4c53e8903ce97220b04bacbdb60b",10612281
"http://www.scopus.com/inward/record.url?eid=2-s2.0-52649114611&partnerID=40&md5=3afec45ea3282f3143d074488c2f3b8d",13986422
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030614959&partnerID=40&md5=d482fb27f33cea3a078facee9d0c9226",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028961335&partnerID=40&md5=b19f5e6f11508e1f3fdf01af5e41a755",7723011
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0013770258&partnerID=40&md5=216d1f91128f2cb3603da3ad41ffdcb4",5875341
"http://www.scopus.com/inward/record.url?eid=2-s2.0-28744458859&partnerID=40&md5=75238f5dd08b6cbe64c1bb8db64b37ab",15461798
"http://www.scopus.com/inward/record.url?eid=2-s2.0-3042521098&partnerID=40&md5=3e66f800ebc7630ff24f0b95467be33c",15223320
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026674886&partnerID=40&md5=c0b19ddc55275b30718139a9c24679b4",1354393
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034641918&partnerID=40&md5=dc14eacea7d1c5a873abc2ac24808731",11048727
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032478818&partnerID=40&md5=585c526591779b021bcb8127642fca61",9525859
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032559362&partnerID=40&md5=58a65aa7f66abb32bbbddd0b5dcb09b2",9438836
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019423856&partnerID=40&md5=01ae1917cd8d681941cf99086bd81bcc",7219534
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037180771&partnerID=40&md5=6b923ffffa3cd0eda1981c220bef5d01",12490960
"http://www.scopus.com/inward/record.url?eid=2-s2.0-11844278458&partnerID=40&md5=c1564d4a9a04db7b6f57d2afd53decb6",15652477
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029849620&partnerID=40&md5=d9072122b396c82f382ba9fe8fcb7a9c",8939849
"http://www.scopus.com/inward/record.url?eid=2-s2.0-23444431611&partnerID=40&md5=3afcff0ba4935788db12704f0f57fd5b",8303295
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034610814&partnerID=40&md5=044e244c15be5d2a78564ae1cc8b9e03",10638745
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034604451&partnerID=40&md5=1fd4735846943ace4b9802c909245487",10926528
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019887799&partnerID=40&md5=a599487946482ab1d2225890021511f6",7265238
"http://www.scopus.com/inward/record.url?eid=2-s2.0-1542680533&partnerID=40&md5=e0456f9e100afd0dc54562bf43a52ab2",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030815133&partnerID=40&md5=4ac91b93eea3216127f73f2cc8e9535b",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-33750403801&partnerID=40&md5=cb365793f007c1810b1477a6572eee79",16928733
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027751663&partnerID=40&md5=2a2d78bddac267b2c325db856fb67df1",8252621
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027480960&partnerID=40&md5=635179dc3a6d4964526b261dae40f819",8458085
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037145037&partnerID=40&md5=a664eea7f3d83d6208f39b9556190ba1",12297042
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036086130&partnerID=40&md5=ffc550efb3e806c3d5c2f82bf9787bad",11773609
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018800089&partnerID=40&md5=c54e14d974538262d2e753bae023c87b",388356
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035910270&partnerID=40&md5=5f5c1d211fb653b982399629d442069d",11152613
